f_max,n_eff
187789484704585.22,2.3612223611987386
191353444997443.78,1.9525602596208718
191363598730471.88,1.953951124175769
191363598730471.88,1.9519757662712276
191363598730471.88,1.9595503529558216
191363598730471.88,1.9505395685542388
191363598730471.88,1.9521487886916637
191353444997443.78,1.9553702928288315
191363598730471.88,1.9558492359416386
191363598730471.88,1.9507108049367867
191363598730471.88,1.9515692193968863
191363598730471.88,1.9549609053469086
194683869430656.3,1.5944959922163429
194683869430656.3,1.5952174248811386
194582332100375.44,1.590947669299492
194683869430656.3,1.5993036414392612
194541717168263.1,1.5901443343553092
194541717168263.1,1.6024983570352793
194541717168263.1,1.6021366634017549
194541717168263.1,1.5954291900266893
194541717168263.1,1.59059024748395
194541717168263.1,1.591842010514362
194541717168263.1,1.5910053057519287
194572178367347.34,1.5916495597476408
194551870901291.2,1.5915432883416223
194724484362768.66,1.597686236992245
194683869430656.3,1.5938530119249812
194562024634319.28,1.601892255940193
194541717168263.1,1.5927417426434143
194562024634319.28,1.596225764832781
194541717168263.1,1.5934237338874395
194541717168263.1,1.6030138857570146
194673715697628.22,1.5931014326768018
194541717168263.1,1.5941599681961163
194541717168263.1,1.5997000078396608
194683869430656.3,1.5991670355582466
194541717168263.1,1.6042584017383033
194683869430656.3,1.5925253563745587
194541717168263.1,1.592290558933593
194541717168263.1,1.597548622483971
194724484362768.66,1.5937873639353388
194562024634319.28,1.5957744086307586
194541717168263.1,1.5940355605194971
194724484362768.66,1.5913775683628717
194541717168263.1,1.5920214298820543
194541717168263.1,1.5955863192281383
194683869430656.3,1.5906082656491882
194724484362768.66,1.5950322476316268
194541717168263.1,1.592049649452126
194724484362768.66,1.5977266068547964
194694023163684.4,1.596754983166799
194541717168263.1,1.5955344918465282
194683869430656.3,1.5926843458698117
194663561964600.12,1.59039429650947
194541717168263.1,1.5956225544737555
194663561964600.12,1.5956467644702907
194683869430656.3,1.603729891431331
194683869430656.3,1.5927011335804906
194683869430656.3,1.5920845966765382
194612793299459.7,1.5942403952749695
194562024634319.28,1.601429920506791
194663561964600.12,1.5962315425286469
194541717168263.1,1.5968548822360638
194541717168263.1,1.6015564602567816
194541717168263.1,1.5907612119609984
194663561964600.12,1.5967181077211314
194541717168263.1,1.6008329631859581
194612793299459.7,1.5969760352787616
194663561964600.12,1.5984303036386638
194663561964600.12,1.592600958542775
194663561964600.12,1.595340493957836
194683869430656.3,1.593515063239419
194541717168263.1,1.5907352982701932
194663561964600.12,1.5900697002443889
